mode,tracker_case,coherent_window_ms,residual_doppler_hz,symbol_rate_hz,ebn0_ref_db,coherent_loss_db,coded_ber_proxy,c_0p01_bit_per_s_hz,rain_note
doppler_ber,tracked,1.0,0,1200.0,0.7,-0.0,0.00645795694386007,,
doppler_ber,tracked,1.0,0,1200.0,3.0,-0.0,0.0005981179473148146,,
doppler_ber,tracked,1.0,0,1200.0,6.0,-0.0,2.3662977987969673e-06,,
doppler_ber,tracked,1.0,20,1200.0,0.7,0.00571583857039679,0.00648769636875376,,
doppler_ber,tracked,1.0,20,1200.0,3.0,0.00571583857039679,0.0006026037263839443,,
doppler_ber,tracked,1.0,20,1200.0,6.0,0.00571583857039679,2.4005683209469144e-06,,
doppler_ber,tracked,1.0,50,1200.0,0.7,0.03574871346327595,0.006645627407772478,,
doppler_ber,tracked,1.0,50,1200.0,3.0,0.03574871346327595,0.0006266379732268319,,
doppler_ber,tracked,1.0,50,1200.0,6.0,0.03574871346327595,2.5881901340908316e-06,,
doppler_ber,tracked,1.0,75,1200.0,0.7,0.08051765342800726,0.006886304334648998,,
doppler_ber,tracked,1.0,75,1200.0,3.0,0.08051765342800726,0.000663946546546033,,
doppler_ber,tracked,1.0,75,1200.0,6.0,0.08051765342800726,2.892764058315894e-06,,
doppler_ber,tracked,1.0,100,1200.0,0.7,0.14335017216187576,0.007234851605399783,,
doppler_ber,tracked,1.0,100,1200.0,3.0,0.14335017216187576,0.0007194146298951211,,
doppler_ber,tracked,1.0,100,1200.0,6.0,0.14335017216187576,3.375385558606882e-06,,
doppler_ber,tracked,1.0,150,1200.0,0.7,0.32388733793619884,0.008308293821439383,,
doppler_ber,tracked,1.0,150,1200.0,3.0,0.32388733793619884,0.0009005995735843548,,
doppler_ber,tracked,1.0,150,1200.0,6.0,0.32388733793619884,5.197191258446153e-06,,
doppler_ber,tracked,1.0,200,1200.0,0.7,0.5792236612616181,0.010017262825107329,,
doppler_ber,tracked,1.0,200,1200.0,3.0,0.5792236612616181,0.0012196313822701275,,
doppler_ber,tracked,1.0,200,1200.0,6.0,0.5792236612616181,9.2992296721373e-06,,
doppler_ber,slow_tracking,5.0,0,1200.0,0.7,-0.0,0.00645795694386007,,
doppler_ber,slow_tracking,5.0,0,1200.0,3.0,-0.0,0.0005981179473148146,,
doppler_ber,slow_tracking,5.0,0,1200.0,6.0,-0.0,2.3662977987969673e-06,,
doppler_ber,slow_tracking,5.0,20,1200.0,0.7,0.14335017216187576,0.007234851605399783,,
doppler_ber,slow_tracking,5.0,20,1200.0,3.0,0.14335017216187576,0.0007194146298951211,,
doppler_ber,slow_tracking,5.0,20,1200.0,6.0,0.14335017216187576,3.375385558606882e-06,,
doppler_ber,slow_tracking,5.0,50,1200.0,0.7,0.9120975839632404,0.012602122156498812,,
doppler_ber,slow_tracking,5.0,50,1200.0,3.0,0.9120975839632404,0.0017680802651747465,,
doppler_ber,slow_tracking,5.0,50,1200.0,6.0,0.9120975839632404,1.8933558674915347e-05,,
doppler_ber,slow_tracking,5.0,75,1200.0,0.7,2.1113158900181404,0.025610919528495396,,
doppler_ber,slow_tracking,5.0,75,1200.0,3.0,2.1113158900181404,0.005531927242874051,,
doppler_ber,slow_tracking,5.0,75,1200.0,6.0,2.1113158900181404,0.00016610206094557978,,
doppler_ber,slow_tracking,5.0,100,1200.0,0.7,3.9223975406030527,0.05674637579754811,,
doppler_ber,slow_tracking,5.0,100,1200.0,3.0,3.9223975406030527,0.019579815999765368,,
doppler_ber,slow_tracking,5.0,100,1200.0,6.0,3.9223975406030527,0.0017877734668459858,,
doppler_ber,slow_tracking,5.0,150,1200.0,0.7,10.454522678356488,0.2278077468320781,,
doppler_ber,slow_tracking,5.0,150,1200.0,3.0,10.454522678356488,0.1654570207618174,,
doppler_ber,slow_tracking,5.0,150,1200.0,6.0,10.454522678356488,0.08481803321783273,,
doppler_ber,slow_tracking,5.0,200,1200.0,0.7,120.0,0.49999900819780835,,
doppler_ber,slow_tracking,5.0,200,1200.0,3.0,120.0,0.499998707516333,,
doppler_ber,slow_tracking,5.0,200,1200.0,6.0,120.0,0.4999981743182946,,
rain_capacity,clear,,0,1200.0,,0.0,,0.6739777505770901,none
rain_capacity,temperate_0p01,,0,1200.0,,0.5,,0.6142005300196883,ITU-R P.618/P.838 temperate high-percentile proxy
rain_capacity,humid_0p01,,0,1200.0,,1.0,,0.5587528823972033,humid mid-latitude proxy
rain_capacity,tropical_0p01,,0,1200.0,,2.0,,0.46018012184137946,ITU-R P.618/P.838 tropical severe proxy
