scenario,scenario_label,nlos_dwell_factor,p_ll,p_nn,target_p_los,empirical_p_los,mean_los_dwell_s,mean_nlos_dwell_s,p95_nlos_burst_s,max_nlos_burst_s
open_plain,Open plain,0.5,0.9754462401356881,0.001,0.9760112650384218,0.9773333333333334,40.72696016928429,1.001001001001001,1.0,1.0
open_plain,Open plain,1.0,0.9760112650384218,0.023988734961579494,0.9760112650384218,0.9762,41.6862332091151,1.0245783382025158,1.0,3.0
open_plain,Open plain,2.0,0.9880056325192109,0.5119943674807897,0.9760112650384218,0.9768,83.3724664182302,2.0491566764050315,5.0,6.0
forest_edge,Forest edge,0.5,0.8901878786942368,0.001,0.9009641767115191,0.8954,9.106462821308938,1.001001001001001,1.0,2.0
forest_edge,Forest edge,1.0,0.9009641767115191,0.0990358232884807,0.9009641767115191,0.8974666666666666,10.097356358487628,1.1099220433491122,2.0,3.0
forest_edge,Forest edge,2.0,0.9504820883557595,0.5495179116442404,0.9009641767115191,0.8943333333333333,20.194712716975257,2.2198440866982243,5.0,12.0
canyon_valley,Canyon valley,0.5,0.599100673434035,0.001,0.7136227448945243,0.7126666666666667,2.494391817930523,1.001001001001001,1.0,2.0
canyon_valley,Canyon valley,1.0,0.7136227448945243,0.28637725510547574,0.7136227448945243,0.7094,3.4918974261125926,1.4013006271931583,3.0,9.0
canyon_valley,Canyon valley,2.0,0.8568113724472621,0.6431886275527379,0.7136227448945243,0.7182,6.983794852225185,2.8026012543863166,7.0,16.0
moving_trail,Moving trail,0.5,0.048890156996927746,0.001,0.5122788357714197,0.5116666666666667,1.0514032709855679,1.001001001001001,1.0,2.0
moving_trail,Moving trail,1.0,0.5122788357714197,0.48772116422858036,0.5122788357714197,0.5174,2.050351867714582,1.9520619049079806,5.0,12.0
moving_trail,Moving trail,2.0,0.7561394178857099,0.7438605821142902,0.5122788357714197,0.5058666666666667,4.100703735429166,3.904123809815961,11.0,31.0
tent_shelter,Tent/shelter,0.5,0.001,0.4860082562431398,0.25699587187843004,0.3354,1.001001001001001,1.9455565427779367,5.0,14.0
tent_shelter,Tent/shelter,1.0,0.25699587187842987,0.7430041281215699,0.25699587187843004,0.26206666666666667,1.3458875424126584,3.8911130855558733,11.0,22.0
tent_shelter,Tent/shelter,2.0,0.6284979359392151,0.8715020640607849,0.25699587187843004,0.2618666666666667,2.691775084825318,7.782226171111743,22.0,47.0
