scenario,voice_rate_bps,threshold_shift_db,effective_threshold_ebn0_db,availability
open,1200.0,-3.0,-4.0,1.0
open,1200.0,-2.5,-3.5,1.0
open,1200.0,-2.0,-3.0,1.0
open,1200.0,-1.5,-2.5,1.0
open,1200.0,-1.0,-2.0,1.0
open,1200.0,-0.5,-1.5,1.0
open,1200.0,0.0,-1.0,1.0
open,1200.0,0.5,-0.5,1.0
open,1200.0,1.0,0.0,1.0
open,1200.0,1.5,0.5,1.0
open,1200.0,2.0,1.0,1.0
open,1200.0,2.5,1.5,1.0
open,1200.0,3.0,2.0,1.0
open,2400.0,-3.0,-2.3,1.0
open,2400.0,-2.5,-1.8,1.0
open,2400.0,-2.0,-1.3,1.0
open,2400.0,-1.5,-0.8,1.0
open,2400.0,-1.0,-0.30000000000000004,1.0
open,2400.0,-0.5,0.19999999999999996,1.0
open,2400.0,0.0,0.7,1.0
open,2400.0,0.5,1.2,1.0
open,2400.0,1.0,1.7,1.0
open,2400.0,1.5,2.2,1.0
open,2400.0,2.0,2.7,1.0
open,2400.0,2.5,3.2,1.0
open,2400.0,3.0,3.7,1.0
open,4000.0,-3.0,-0.7999999999999998,1.0
open,4000.0,-2.5,-0.2999999999999998,1.0
open,4000.0,-2.0,0.20000000000000018,1.0
open,4000.0,-1.5,0.7000000000000002,1.0
open,4000.0,-1.0,1.2000000000000002,1.0
open,4000.0,-0.5,1.7000000000000002,1.0
open,4000.0,0.0,2.2,1.0
open,4000.0,0.5,2.7,1.0
open,4000.0,1.0,3.2,1.0
open,4000.0,1.5,3.7,1.0
open,4000.0,2.0,4.2,1.0
open,4000.0,2.5,4.7,0.999995
open,4000.0,3.0,5.2,0.99998
suburban,1200.0,-3.0,-4.0,0.999995
suburban,1200.0,-2.5,-3.5,0.999995
suburban,1200.0,-2.0,-3.0,0.999995
suburban,1200.0,-1.5,-2.5,0.99999
suburban,1200.0,-1.0,-2.0,0.99998
suburban,1200.0,-0.5,-1.5,0.99998
suburban,1200.0,0.0,-1.0,0.99997
suburban,1200.0,0.5,-0.5,0.99997
suburban,1200.0,1.0,0.0,0.99994
suburban,1200.0,1.5,0.5,0.999925
suburban,1200.0,2.0,1.0,0.9999
suburban,1200.0,2.5,1.5,0.99989
suburban,1200.0,3.0,2.0,0.99986
suburban,2400.0,-3.0,-2.3,0.999915
suburban,2400.0,-2.5,-1.8,0.999895
suburban,2400.0,-2.0,-1.3,0.99988
suburban,2400.0,-1.5,-0.8,0.999835
suburban,2400.0,-1.0,-0.30000000000000004,0.999785
suburban,2400.0,-0.5,0.19999999999999996,0.999695
suburban,2400.0,0.0,0.7,0.99949
suburban,2400.0,0.5,1.2,0.999255
suburban,2400.0,1.0,1.7,0.998835
suburban,2400.0,1.5,2.2,0.99839
suburban,2400.0,2.0,2.7,0.997805
suburban,2400.0,2.5,3.2,0.99713
suburban,2400.0,3.0,3.7,0.9962
suburban,4000.0,-3.0,-0.7999999999999998,0.999125
suburban,4000.0,-2.5,-0.2999999999999998,0.99863
suburban,4000.0,-2.0,0.20000000000000018,0.998115
suburban,4000.0,-1.5,0.7000000000000002,0.99756
suburban,4000.0,-1.0,1.2000000000000002,0.996725
suburban,4000.0,-0.5,1.7000000000000002,0.99572
suburban,4000.0,0.0,2.2,0.994545
suburban,4000.0,0.5,2.7,0.99294
suburban,4000.0,1.0,3.2,0.991085
suburban,4000.0,1.5,3.7,0.98889
suburban,4000.0,2.0,4.2,0.986585
suburban,4000.0,2.5,4.7,0.98376
suburban,4000.0,3.0,5.2,0.98049
urban,1200.0,-3.0,-4.0,0.98527
urban,1200.0,-2.5,-3.5,0.98299
urban,1200.0,-2.0,-3.0,0.980615
urban,1200.0,-1.5,-2.5,0.977805
urban,1200.0,-1.0,-2.0,0.974745
urban,1200.0,-0.5,-1.5,0.97118
urban,1200.0,0.0,-1.0,0.967315
urban,1200.0,0.5,-0.5,0.96319
urban,1200.0,1.0,0.0,0.958715
urban,1200.0,1.5,0.5,0.95387
urban,1200.0,2.0,1.0,0.94861
urban,1200.0,2.5,1.5,0.942875
urban,1200.0,3.0,2.0,0.936915
urban,2400.0,-3.0,-2.3,0.951585
urban,2400.0,-2.5,-1.8,0.94611
urban,2400.0,-2.0,-1.3,0.940505
urban,2400.0,-1.5,-0.8,0.93432
urban,2400.0,-1.0,-0.30000000000000004,0.927965
urban,2400.0,-0.5,0.19999999999999996,0.92112
urban,2400.0,0.0,0.7,0.91431
urban,2400.0,0.5,1.2,0.90711
urban,2400.0,1.0,1.7,0.899705
urban,2400.0,1.5,2.2,0.89167
urban,2400.0,2.0,2.7,0.883695
urban,2400.0,2.5,3.2,0.875605
urban,2400.0,3.0,3.7,0.86695
urban,4000.0,-3.0,-0.7999999999999998,0.90375
urban,4000.0,-2.5,-0.2999999999999998,0.896285
urban,4000.0,-2.0,0.20000000000000018,0.888245
urban,4000.0,-1.5,0.7000000000000002,0.880185
urban,4000.0,-1.0,1.2000000000000002,0.871835
urban,4000.0,-0.5,1.7000000000000002,0.863015
urban,4000.0,0.0,2.2,0.854185
urban,4000.0,0.5,2.7,0.84534
urban,4000.0,1.0,3.2,0.836065
urban,4000.0,1.5,3.7,0.826955
urban,4000.0,2.0,4.2,0.81782
urban,4000.0,2.5,4.7,0.807985
urban,4000.0,3.0,5.2,0.798495
car,1200.0,-3.0,-4.0,0.967335
car,1200.0,-2.5,-3.5,0.961535
car,1200.0,-2.0,-3.0,0.95527
car,1200.0,-1.5,-2.5,0.948735
car,1200.0,-1.0,-2.0,0.94124
car,1200.0,-0.5,-1.5,0.93259
car,1200.0,0.0,-1.0,0.92331
car,1200.0,0.5,-0.5,0.91328
car,1200.0,1.0,0.0,0.901835
car,1200.0,1.5,0.5,0.89032
car,1200.0,2.0,1.0,0.877845
car,1200.0,2.5,1.5,0.86443
car,1200.0,3.0,2.0,0.850825
car,2400.0,-3.0,-2.3,0.885315
car,2400.0,-2.5,-1.8,0.872285
car,2400.0,-2.0,-1.3,0.858735
car,2400.0,-1.5,-0.8,0.844645
car,2400.0,-1.0,-0.30000000000000004,0.82989
car,2400.0,-0.5,0.19999999999999996,0.814495
car,2400.0,0.0,0.7,0.798785
car,2400.0,0.5,1.2,0.78249
car,2400.0,1.0,1.7,0.766045
car,2400.0,1.5,2.2,0.74976
car,2400.0,2.0,2.7,0.73348
car,2400.0,2.5,3.2,0.71725
car,2400.0,3.0,3.7,0.70133
car,4000.0,-3.0,-0.7999999999999998,0.775365
car,4000.0,-2.5,-0.2999999999999998,0.758775
car,4000.0,-2.0,0.20000000000000018,0.742535
car,4000.0,-1.5,0.7000000000000002,0.726515
car,4000.0,-1.0,1.2000000000000002,0.71028
car,4000.0,-0.5,1.7000000000000002,0.69461
car,4000.0,0.0,2.2,0.67931
car,4000.0,0.5,2.7,0.664765
car,4000.0,1.0,3.2,0.650345
car,4000.0,1.5,3.7,0.636765
car,4000.0,2.0,4.2,0.62352
car,4000.0,2.5,4.7,0.610615
car,4000.0,3.0,5.2,0.598595
indoor_window,1200.0,-3.0,-4.0,0.71193
indoor_window,1200.0,-2.5,-3.5,0.69588
indoor_window,1200.0,-2.0,-3.0,0.67991
indoor_window,1200.0,-1.5,-2.5,0.66395
indoor_window,1200.0,-1.0,-2.0,0.64742
indoor_window,1200.0,-0.5,-1.5,0.63132
indoor_window,1200.0,0.0,-1.0,0.61492
indoor_window,1200.0,0.5,-0.5,0.59856
indoor_window,1200.0,1.0,0.0,0.582675
indoor_window,1200.0,1.5,0.5,0.566095
indoor_window,1200.0,2.0,1.0,0.55023
indoor_window,1200.0,2.5,1.5,0.53452
indoor_window,1200.0,3.0,2.0,0.518865
indoor_window,2400.0,-3.0,-2.3,0.55935
indoor_window,2400.0,-2.5,-1.8,0.54349
indoor_window,2400.0,-2.0,-1.3,0.52791
indoor_window,2400.0,-1.5,-0.8,0.512355
indoor_window,2400.0,-1.0,-0.30000000000000004,0.49703
indoor_window,2400.0,-0.5,0.19999999999999996,0.48212
indoor_window,2400.0,0.0,0.7,0.46734
indoor_window,2400.0,0.5,1.2,0.452965
indoor_window,2400.0,1.0,1.7,0.43966
indoor_window,2400.0,1.5,2.2,0.42602
indoor_window,2400.0,2.0,2.7,0.41314
indoor_window,2400.0,2.5,3.2,0.40059
indoor_window,2400.0,3.0,3.7,0.388465
indoor_window,4000.0,-3.0,-0.7999999999999998,0.447135
indoor_window,4000.0,-2.5,-0.2999999999999998,0.433645
indoor_window,4000.0,-2.0,0.20000000000000018,0.420455
indoor_window,4000.0,-1.5,0.7000000000000002,0.407505
indoor_window,4000.0,-1.0,1.2000000000000002,0.395225
indoor_window,4000.0,-0.5,1.7000000000000002,0.383605
indoor_window,4000.0,0.0,2.2,0.372455
indoor_window,4000.0,0.5,2.7,0.36115
indoor_window,4000.0,1.0,3.2,0.3506
indoor_window,4000.0,1.5,3.7,0.34045
indoor_window,4000.0,2.0,4.2,0.33095
indoor_window,4000.0,2.5,4.7,0.322275
indoor_window,4000.0,3.0,5.2,0.31342
